Tweet,Sentence 1,Sentence 2,Sentence 3
 with  on the clockmichigan some hoes,,,
 no i dont like hoes,,,
 fat hoes ina caddilac u can tell they jus lost dey luxury car ride virginityhoes too happy lmao,,,
 old hoes a ponk and a dyke outchea having girl talk,,,
 stacks for the heels on my bitch feet car seat still smellin like  keys tell the plug that im lookin for a increase,,,
 mins until that bitch drop,,,
 we know ya bitch kendricklamar,,,
 rt mayaangeloufro beat my pussy up like i snitched on you and you had to serve time in a state correctional facility for  years,,,
 and long bitches,,,
 white men in pick up trucks screaming nigger and my coach got the nerve to get mad i missed the free throw ,,,
 are ugly thot bitch shoes,,,
 be like come hang out with us but not if u fugly oh and side hoes to the left thnx,,,
 user followed then unfollowed me what a prude ass hoe,,,
  on these hoes i am not fatim big bonedhehehehehe,,,
 am  bout to match up wit dis nicca donnydinero,,,
 pounds never fails to make me cry im not bitch i just relate to it,,,
 years later and this bitch still didnt learn her lesson lol i remember she was the first major nude leak of this generation,,,
 needs to hurry up  its chilly in this bitch,,,
 of the girls u went to hs with look horrible now but dont wanna believe itim bout to piss them facebook hoes off with this,,,
 mo govjaynixon let  some crackers kill their babies new black panthers hijack his ferguson presser ,,,
 percent yo bitch with me  percent that scrap with me,,,
 of niggas goofy and act like bitches,,,
  got a missed call from yo bitch,,,
 of the truly talented people ive come across are retarded professionally  of the awful untalented people are on point and polite,,,
 problems but a bitch aint ,,,
 problems but a bitch aint one,,,
 well that sucks that kobe is out now hes still filthy you can hate him all u want but if you dont have respect for him ur retarded,,,
gt rt kylegotjokes all good pussy comes with a price tag,,,
 me bitch,,,
 me tho  this bitch wants to be included so fuckin baldly ,,,
 the chick who is gorgeous and so fine but her pussy stinks,,,
 the person who significant other a hoe and you the so cheating,,,
 no bitch i had to use my whipers,,,
  thats what happens when your getting pussy pussy or twitter seems like a clear cut choice to me hahahaha,,,
 i bet hes a starbucks queer,,,
 huntermoore bitch you gross as fuck touchin them saggy titties,,,
 i could fuck a bowl of graham cracker cereal,,,
 bitch caught a body about a week ago everybody catching bullet holes,,,
 bitch,,,
  denisgorman nothing like waiting till the last game of the season to peddle it shit website heeb,,,
 fucktyler fugly loose hoe,,,
 bitch you fucking told me to sit in that seat and yo dumbass come again saying why you sitting there bitch ,,,
  fag,,,
 iamadamg  bitches will be bitches,,,
 fuc her and her pussy nasty ,,,
 and he whips mommy with the belt they have not arrested this black womans real nigger yet she got what she wanted death,,,
 he aint a real nigger oh my bad a real nigga but praise the sonsof satan for having not a realnigger qualitaties im hating,,,
 no wonder you run nose first for yo real nigger amp white devil massahs or any man pointing at another to convince u he is less,,,
 cry over lost pussy more emotional than a sissy they get out amp front on hoes simple minds amp point brothas like me out,,,
  them bitches need a tan,,,
 marlinfishyass it was old ratchet hoes bruh,,,
 pussy,,,
 yu ah hoe,,,
 good enough fag,,,
 little bitch your ass is getting tased when i get home,,,
 haha still a little bitch though ,,,
 bc shes a cunt hoe bag,,,
 lmao  excuse me bitchi am not soundcloud,,,
 go be cunt somewhere else,,,
 moneydriven stfu hoe and fucking answer me before i smack the shit outta you and your faggot aunt,,,
 so glad you did this im still trying to figure out emoticons on this damn motorola to give that bitch the finger,,,
 if its trash im kickin yo ass,,,
 all them bitches far as fuck from us we got el gran pollo up this way and it serves us well lexgracie,,,
 iycmi i cant get any work done if you keep showin off your bitches,,,
 ima act like i hit that hoe then pass it like i was earlier,,,
 fag rhymes with gag,,,
 fuck you tonyyou greaseball piece of shit,,,
 u said  me hoe  so i did,,,
 hoes,,,
 jezzzz if she do then she gone die too i aint playin dawg bitches gone be ruthless then i will be too ,,,
aaroncarter push me on the wall slowly take my panties down and write alphabet with ur tongue on my tight pussy,,,
achussle bitches are hoes dont be surprised,,,
agreasymonkey huntermoore faggot,,,
 ashactually hey i dont always go there sometimes these three crazy bitches and one suave mfer trick me into going with them,,,
alaquannd what you laughing at hoe,,,
 beautiful bride tell erica congrats if she remembers a nig,,,
aprivilege lmao brutal for the nigs who cant get jobs lol,,,
asaprocki huhwhatsacondom sighs  not a bitch im a woman learn the difference  i know im fat  its called a scarf dumbass,,,
asipofmocha dr phil im having trouble figuring out what my fat ass wants to eat where are the drinks and the bitches,,,
 and i just cleaned the entire fucking weight room looked like a tornado went through this bitchcmon franklin franklinprobs,,,
amperez they are little bitches when they are proven wrong momsdemand gunsense,,,
aaronkeplin shut up bitch,,,
  bruh im under  blankets like a bitch right now,,,
abrehamdadi no bitch,,,
abstractlife man too much damn giggling was going he was offering  tips and shit lol think i even heard the bitch spit a couple times,,,
abstractlife two trash ass passes you know damn well you saw it too on  and  down before santos won the game,,,
abstractlife yeah cant lie tho spitting on a cop car right with their bitch ass in it feels damn good,,,
abusivemen youre a fucking pussy,,,
acaciabrinley crusty hoe,,,
 double up on this game bitch,,,
acehudsonjr bitches tryna take all my money g,,,
acewuzhere why you talking to me at  almost  we  friends pussy,,,
actuarialreport weve tried each time we go he just sits there in silence and i cry like a bitch and sweat,,,
adambaldwin really bro that retard sentedcruz even missed the point of greeneggsampham it means dont knock it til ya try it,,,
adamharmon jeffjeffallen yeah tht a bitch we aint gay brah chill,,,
 rt  snapchat got hacked all of you hoes about to have some explaining to do ,,,
adolfhibsta ive seen a number of bitches on here say theres no such thing as loose pussy lol ok,,,
 nigglet ,,,
 imma bitch i know  leave me alone,,,
 i dont be on the hoes but these hoes on my snapchat,,,
 hell yeah i got bokoo hoes when i had my fro,,,
alanmilner morningjoe alqueda doesnt use cell phones or the internet wow you teabaggers are stupid,,,
alancasillas bitches or wat,,,
alancasillas haha shit niggah i wish,,,
alancasillas lol bitches from riverside to la ahah,,,
alancasillas nah i thought u had to bitches lol didnt know peters girl was one of them lmao,,,
alancasillas niggah lol i had  beers before i went to the bar then had  beers at the bar then got a  on the way home lool,,,
aleeed bitch who do u love,,,
alejandrobihhh capodaasshole i was texting a bitch,,,
alejandrobihhh capodaasshole im on this hoe like this every night just be tweeting bullshit,,,
alejandrobihhh capodaasshole lol cause these hoes love me,,,
alejandrobihhh capodaasshole so yall niggaz aint never listen to no slow shit with a bitch,,,
alejandrobihhh lmaoooo hell naw bro i be up i havent seen that hoe,,,
alejandrobihhh lol i was bout to say shit income tax in im tryna find me a bitch for a couple weeks,,,
alexdunlapnfl bdoeklbj that evil son of a bitch deserves everything thats coming to him,,,
alexschnider niiice my nigga schinder pullin hoes,,,
alexadelsanter bad bitch with me wonder where my manners go,,,
alexadelsanter karma is a bitch,,,
alexisdiamond bitch stop fucking playin with me you know wtf im talkin about,,,
 this niggah be lying ,,,
alfieheydrich seen a pic of nigs robbing a store caption saidprotesting gos on in fergerson lol i dont like pigs either but wtf,,,
alfieheydrich but i live in the south lot more here my pop lives in rhode island hardly no niggers there,,,
 so basically you like the background music fag,,,
 them hoes was trash,,,
alissawasheree you trippin bitch ,,,
alleyesonkie  real rap fucked that bitch lay up for the day thats really disrespectful like bitch u couldnt feel the throw up ,,,
allfucksgiven like a hoe gettin dick all day and then tonight she gettin more,,,
alliebruner stop being mean bitch ,,,
alliebruner is my main bitch,,,
almightyvinny  richhomiemeezy the hoes be by my house  we be at tony spot mf,,,
almightywoo he said he got you in workouts pussy,,,
alysiarianh cambreezy dont call my buddy cambron retarded man smh thats rude,,,
ampowerblog but can we all at least agree that you whining like a little bitch because someone threw your phone is absolutely hilarious,,,
ampowerblog haha says the little bitch who let someone take his phone a real man wouldnt have let that happen a little bitch would,,,
ampowerblog so a man who is a pussy and a coward overpowered you and easily took what was yours you are clearly much less than a man then,,,
ampowerblog your incessant whining like a worthless little bitch is the funniest thing that has happened all weekend you are not a man,,,
amandabynes yea that always looks niceall the monkey faced women a see around santa monica looks better than natural beauty dontbedumb,,,
amandashow bet that some good pussy,,,
americaanti youre dismissed bitch not in the mood for fucktards this morning blocked ,,,
americanmirror praedor the cop was bitch slapped by this wanna b st thug and he got what tm got dead see you dont slap cops they r law,,,
americanwhitehm i hate that nigger,,,
americanwhitehm those niggers disgust me they should have dealt with  years ago we wouldnt be having these problems now,,,
americanpye bitch would rather fuck a poster damn thats cold,,,
amireldouh  ali is a hoe for that,,,
amizzyy lol that hoe did numbers,,,
amoranjel right  come then what  wait another  months  naaaawwwww  i could be pimpin these hoes lol,,,
anuglynigga this is retarded,,,
anastasiapacana  stfu she thinks your ugly and hard to look at get the fuck out of chat faggot before i block you oct  ,,,
andreberto cant wait for more peds is that it roid munching faggot,,,
andreaaolvera prego bitch,,,
andreaaolvera shut the fuck up hoe ass bitch fuck squirtin ass cunt hoe,,,
andreaaolvera smd bitch,,,
 tommyrussell homo ass crackers,,,
 i would but i got dat new monopoly wit da cardsill hold it up n see if a hoe will let a nigga swipe on credit,,,
andyherren aarynelizagries cry baby bitch,,,
anellesofia i didnt call you a bitch i just saiddd bitch jeesh,,,
anellesofia for some spook shit,,,
 aint nobody offending u fuckin peckerwoods i despise of a no good white ungrateful honkey,,,
 fight me  on  ur choice of game faggot see what happens,,,
anitafarid angjly lmao  the side ho gets all the real action anyways ,,,
 she was the principle for a ghetto elementary school i doubt it but fingers ,,,
 turntolive tweenki they are wrong you are a nigger always causung mischief among ur own people,,,
antdgk  chainskibum would this faggot survive in tj,,,
anthonycumia you be totally correct anthony  be livin round dem colored folk day be bringin down da hood and dem propery value,,,
anthonycumia just dont bitch when your power goes out like last time,,,
anthonycumia pussy,,,
antiheroko bitch foh,,,
antoniofrench the  going   kill crackers amp their  new black panthers credibilityshot fergusonriot ,,,
apevontarskin what smdh another bitch,,,
apevontarskin fuck u ugly ass bitch,,,
appleciderpapi ogbeard godievel nah u just a fag,,,
 marcospatula who invited this fag,,,
 i have class nig,,,
arbogucci guys not supposed to get their ass sucked queer,,,
arcticnation yeah these bitches aint shit tho,,,
areohhbee bitch see you then then bitch and good luck to you,,,
areohhbee bitch you up and joined the fucking army and those of us around this bitch was like where the fuck rob go to the fuckin army,,,
aritweetz lol na bitches like crazy if the d good ,,,
arianagrande this bitch cumwiththewind,,,
ariestheog cut a bitch,,,
arlisdonotchill  wheres my bitch wit my sammich then,,,
artalegaspare bitch i got the flameeee,,,
artbylecardin  deeiiggee until the world sees  faggot jungle bunnies are fucking and one got pregnant,,,
artbylecardin deeiiggee   and on that note im out dis bitch,,,
articulateaura bitches dont know if they wanna play basketball or look sexy bro,,,
articulateaura bro you know i cant not comment on stupid shit like thatbitch instagram a heart attack on a plate,,,
aryanliving welcome to the movement anyone who gets even minor publicity is a queer fed or jew well according to the internet,,,
asaptwelvyy bruh bruh that bitch aint loyal ,,,
asaptwelvyy hoes,,,
ashlynohma wtf i dmd you bitch,,,
asvprvchel kitttyjpg  nah im forreal both of yall pussies smell like some dried up crusty fish guts,,,
asvprvchel kitttyjpg nah that bitch stank,,,
atblackface mrmooncricket uncleunco bobbybotsods fuckthemallcops  ape fuck u broke ass racist,,,
atblackface mrmooncricket uncleunco bobbybotsods fuckthemallcops  fuck u bitch,,,
 rt elleszczepanski these hoes aint loyal ,,,
 pussy ass schedule,,,
 i do not like talking to you faggot and i did but in a nicely way fag,,,
 answer my snapchat faggot butthurt,,,
 go to sleep faggot,,,
 your the one keeping me up faggot,,,
  i can not wait to see this fucking cunt her ass is ,,,
autyaut bitch add me,,,
averycash dallyjackson coaldaddy  youtube i could have died i called my mom a bitch lmao,,,
 bruh did go out like a bitch thoe lol that should not be his final match,,,
 lmao omm you see the bitch tryna act like she aint feel it ahaha,,,
 lol his matches from the early  when he was ic champion the bitches really would go ham,,,
 so ppl are pissed off basically saying if we have to suffer you will too tourching tht bitch,,,
awwyeahmaddie youre our bitch though,,,
aydontjudgeme just come stop in this bitch cause im bout to get off,,,
aymrcarter niggas be on pussy shit,,,
aydren cause youre a sexy bitch,,,
ayefuckwoody  do i literally eat asshole for a living is that what i actually do faggot you seem a little confused,,,
ayymartt bitch where you been,,,
bamitsjustmary no i bitch and moan not tears,,,
 arianagrande ohgtgtgtgtgt so thats the bald bitchltltltltltltlt,,,
bbcandice  joygrenade if u cant talk without talking about ur cunt mama im thru talking,,,
 so ur faggot teammate  hits someone late like that and u say hes yapping and yelling u guys def  in the room,,,
bgramboe man shut yo bord ass up  want some hoes  cdfu stay fuckjng wid me on here mann,,,
bhdragons hes fucking trash,,,
biackiechan theuncurvable tonedagawd curtdatnigga lmfaoooo thats some fag shit man,,,
blholla me too d dick and pussy is too precious to give up and be ruined by some bullshit that was done to me,,,
blueyupp finger my throbbing pussy slowly as i cum on ur face,,,
bmsthadcastle this account is so incredibly retarded,,,
bossbitchdaphne yours a ,,,
bridifferent bishhhhhh waasup where this bitch up,,,
bridifferent good dnt be a sucker for these sad mad bitches,,,
bukpsychodrama just followed me on vice lord dats rns i been listening to this nigga since magic almighty on you hoes,,,
bunnydahoney lt got all the hoes,,,
 thats meant toward my dads gf shes a bitch dude,,,
 quit bein a little bitch b,,,
babyxshad hoes twerking heavy to that,,,
badassjae fuck no my school boring and ghetto,,,
badbitchamen joeanoaireigns i put this bitch to ,,,
bakarit bitch what,,,
ballbagsteve hoe  brossmh,,,
 im otp bitch hold on,,,
ballardtheg get this nigguh of this streets,,,
bamndeymouth grindin cuzz thats all shit dont stop wats good witcha thou bitch you been mia too,,,
bamndeymouth you already know ima keep it trillahappy bday lha bitch i love yu nigga,,,
bangxbroz right in the pussy,,,
barackobama marchforinnov send them damn beaners back where they belong n the us aint it,,,
barackobama michelleobama omfg you elitist bitch no one cares what you think go fuck yourselves are you in china anyway,,,
barackobama glad you brought that kid home but he fucked up and should face the ucmj dont care about taliban pussies really,,,
barackobama make weed legal you pussy you know you smoke that shit,,,
 thirtybirdy wow and there are white people and there are crackers guess which one u are,,,
barbienixon a moment of silence for the bitch who changes her name everyday ,,,
 cblaze oddbeast cracker jack shut the fuck up,,,
 am not gonna shut shit up bitch but u can get yo punk ass out there hoe ass nigga,,,
 oh really and thats word where u be at then i wanna see what bout then i dont wanna hear what u gonna do i want see it bitch,,,
 u lame then a bitch get the fuck with that gay shit,,,
 wigga wigga wigga wigga wigga,,,
barnabyedwards  dear daily mail you misogynist pile of twats ,,,
barneyfranken jennykutner salon salon is is chuck full of butthurt liberal retards,,,
basedboybob nigga said i woke up in a bed fulla bitches that i aint een fuckin but idc his shit bout to be  harder,,,
basedsaiyan my grandpa has better comebacks and hes dead you faggot go outside and let go of your little ass dick for a minute,,,
beamiller dumb bitch stfu,,,
beanrozay im tokyo but i get higher than a jet killing these dog ass hoes had to send em to the vet produced by tnkthemonstah,,,
beattyjustin kyoppcoalition and just what is that bitch gonna do for women,,,
beattyjustin kyoppcoalition obamas bitch,,,
beautifulcallen nigger lol thts offensive lol and my xmas was iite had a couple of drinks so i was fine ninja xmas lol,,,
beenbasedb do this nigga think he mick foley ,,,
beenslimm i just dont want one these new bitches that morphed in to a super playa because she see how the world is,,,
bekysawyer boats and hoes,,,
 buhrowaustin well looks like ill be buying you two a big bitch box of busch na ,,,
bengybenfrank niggah follow me back ,,,
bennybalboa lmfaoo yu stupid lha bitch i been knowing you for about  you never had a hoeever,,,
bennybalboa not to yall thou yalll fucking glad bag trash,,,
bennybalboa tell that boy he a hoe i just called him,,,
bennybalboa yall fucking trash boyy gladbagflow,,,
betodavidthomas jessecanon bitch my mom didnt call you,,,
betodavidthomas jessecanon lmfaooo oh well fuck that bitch,,,
beyondtomcat youd like that wouldnt you fag,,,
beyondfatal my bitch bruhhh ,,,
bidenshairplugs he looks like a fag and his time line is boring zzzzzz,,,
 too bad hes a faggot,,,
bigdaddysniper you far asf too nigguh,,,
biglovemusic bruh that wont happen cuz i can see that big bitch or it before it strikes,,,
bigquinnliam  did you get your volcano yet faggot,,,
 she prolly got some bomb pussy too lol i hope haha,,,
 bitch,,,
bigfinehorseee she gone eat that bitch,,,
billperiman post i bet he would have gone ape shit and killed them all if they attacked muslims,,,
billperiman offgridsurvival what the holy fucking hell is going on at the epa those overzealous cunts i cant wait for ,,,
billperiman send all the fucking muzzies home now doj come and get me motherfuckers,,,
billratchet vottomanempire place pussy on stache let pussy take ride,,,
billionairecrow neelahrelates your whats wrong with the white race you fuckin coon slaying piece of poop please die alone,,,
billythathird dimiartale aye were da fawking ginzos of fawking queens and fawking nassau,,,
 lets record a song bitch right nowb,,,
bitchimfancy lol so retarded,,,
bitchimastunna veshaacouture lmao bitch shut up,,,
bitchmedia whats up my bitches shout out from your momz in cali keep doin what u do loveit,,,
bitcheslovestar the only one of marys friends i like so you other bitches dont exist ,,,
bitchslovemosa do these bitches really love mosa though mosagang ,,,
bitterchick dat means get the fuck out hoe i be thinkin,,,
bitterchick hellobaphomet yall be some crazy white bitches i wants to lay down wit you bowf,,,
bittytang not sure i think most women have self hate therfore collectively women are bitches becomes their campaign and men follow,,,
bittytang yes why protest about sexism then go right home and beg for a guy to beat your pussy up im lost at times,,,
bjwalkinrivers bro that hoe live,,,
blacclabelle  avi lil nigger,,,
blackmanusa youre killin me man  not all conservatives are racists just like not all nbp hate honkies,,,
 chill cuz youll regret it bro your hitting that hoe rn why quit,,,
blackberrytroll blah if people are determined to think of you as a condescending bitch its their loss,,,
 ha bitch im pickin up beach babes left n right on the west coast ,,,
 lmfao go to bed whitey ,,,
 rollin coal bitches ready to blow ready set go,,,
  bitch got the crew hype an still got her ass beat tonight should have brought him to us,,,
 always eatin good wit my niggah and good lookin on the cd my boy got some heat now i can bump some bangers,,,
 fosho my niggah il be over there just been real busy lately,,,
 yeah that niggah played good lowkey i wanted brazil to win,,,
blizzylc now that ur tour over come kick it with ya nig in the mia,,,
bloggerboxing  the jacob and joshua picks have been very similar as the love for faggot ruslan as well ,,,
bloggerboxing rianscalia pass the fosters faggot,,,
bloggerboxing yeawhat did it do for maidana it made him a greedy faggot loser atleast broner is black,,,
bloodofjupiter yeahbitch,,,
bluedreammn expectomichaela seriously after that first conversation on your status he fb messaged me calling me a fag lololol,,,
bobbybotsods fuckthemallcops uncleunco mrmooncricket fuck off bitch,,,
bobbybotsods fuckthemallcops uncleunco mrmooncricket ur weird racist bitch,,,
bobbybotsods mrmooncricket fuckthemallcops uncleunco no u eat it inbred trailer trash,,,
bobbyrosee let the hoes tell it man,,,
bodybymalone lesson  dont pass out at before  like a lil bitch,,,
bojieasx slap a taco in tht hoe face ,,,
bombfantasyyy angelamastr lmao angela you look like a damn potato bitch keep talkin,,,
boobah awnser the phone pussy,,,
borgore pull my panties down with ur teeth and write the alphabet w ur tongue on my throbbing pussy,,,
bosleyxavier i trip on acid not bitches,,,
 soundsgoodbro bloggerboxing yea u stupid faggot im not leaving till like  want a ride,,,
bossmelle never followed him ignorant monkey,,,
bossmancarl lmaooo naw nigga imma stay right in your mentions hoe,,,
bossmancarl nigga i didnt have no changeyall some hoes for tryna shoot know yall cant shoot,,,
bossmancarl wake your ass up hoe,,,
braxxxedelic fight that shit say youre on free lunch and they must have the game fucked up cause youre colored like the rest of them,,,
 thats shit gon be the death of these hoesion like it,,,
brandnewandrew lmaooo roosters is hot trash bro u know it,,,
brandinicolee get that degree first bitch,,,
branninwgl ill say it for you do ya woman want you on the couch in plain sight or outchea with these bitches simple,,,
branninwgl describing new pussy like a baltimore love thing out this bitch,,,
braveconwarrior she is a bitch  this mess is all bos fault all of it,,,
 mariaobregong   of a citizen i said it for you maria you spic,,,
breadtruckkbri i know i was playing that hoe start on the  tho,,,
breeolson  your a nasty nigger whore,,,
breesindacut you got some hoes here yet,,,
breezypetey at least he went up and wasnt a bitch,,,
brendagisselca im not mexican enough for the real beaners yet too mexican for the americanized beaners ,,,
brendagisselca that you got hoes damn,,,
brendagisselca then what the hell are the perks of being your hoe this is some bullshit,,,
brendanschaub timtebow ugh your with tebow youre officially a fag now and in followed,,,
brenddan they said some bullshit damn niggers,,,
brenddan wow are you comin back up here  they some bitch niggas,,,
bretvondehl comlowery can i beat this bitch up seriouslywhat a bitch,,,
bretvondehl damn you bitch you never answer me anymore lmao jk ily anyway glad of your first show be safe when going to the next one,,,
bretvondehl younow is a fucking bitch shit load of hate on there when i did my first broadcast,,,
brianarashae id like to rape the bitch that posted that,,,
 fuck you faggot,,,
briscoefunnyguy kaeejones i gotta see that hoe in person cause im sleeping on that hoe for now,,,
briscoefunnyguy kaeejones da fuck that hoe look sad,,,
briscoefunnyguy lol he still a lil bitch,,,
brizgotti these new nigga hipster hypebeasts love all these faggot ass bright colors and nike keeps giving them what they want smh,,,
broadwaymensa hoes not women like to be the center of attention,,,
brocktonbitch we niggas like fuckin roaches let one in and you hot dam infested you a crazy bitch i dig yo ass,,,
brodywaynelyles these kids are pussies we got a white trash kid amp a thugnasty wanna be up in here ,,,
brotherdiabeats take your queer ass dubstep out of here,,,
brutalbrandy we had a pacer in the  amp i member loving when hair of the dog came on the quadraphonic stereo so i could say bitchlol,,,
bryanbalsamo lmao u aint a savage  these hoes for everybody,,,
 darealalexinla i didnt spoil anything amp you should have been watched it nigger nig nog,,,
 letsargueboxing sand nigger ran over some kidd,,,
 i dont like the sand nigger but its entertaining like  knockdowns,,,
 joe cortez is the ultimate faggot that fight proved it,,,
 all i remember was the fat bitch stealing the kfc bucket amp hauling ass,,,
 all us beaners were pissed like robert when the jew ref stopped it,,,
 post the bid where you tell that nig to use the jab,,,
 true sand niggers amp bum brits claim hes a atg hall of fame legend smh,,,
 bretvondehl  brandonkilexxx  tylergloyd waitwaitwait the new one or the epson of a bitch lucky ,,,
bullskickass ive decided that bullsnation are retarded love,,,
buymortimer wiigjosh   toddcalfee hookers are always complimentarywho wants to be with a bitch,,,
  ecliptik pussies,,,
cbsthismorning charlierose racist norahodonnell tx trash racist why wld u intvw mittromney n ask racist questions itwas so disrespectful,,,
cdnballjunkie i jus wanna let you know okc trash ibaka aint shit yall aint goin nowhere without harden,,,
cdnballjunkie spurs bitch thats the team you dont want no problems,,,
charlesbarrkley hey sir house nigger uncle tom arent you from grand ole mississippi i rest my case,,,
charlesbarrkley you need your ass whipped with a whip mr house nigger remember u will always b a nigger to them,,,
childishcudl cheefpolo bitch mind your business,,,
 beechhd oh you mean like how you started to be a cunt to jp about something that has nothing to do with you,,,
cmutlr your man looks terrified in that picture do you beat him or just treat him like a regular bitch,,,
 now mfa dont wanna spend a dime wit em prolly out here yelling money over bitches,,,
 i just really miss you and i know we can drink it off and talk about all of our problems like basic bitches,,,
cryaboutitnigga waddup doe lil nicca,,,
csnchicago punk ass bitch bullstalk,,,
csvndy i wanna be that white nigga chillin in my mini cooper just throwin money at bitches,,,
 press start bitch ,,,
  a fucking verse from don trip bitch stop assuming shit,,,
cabhotties who ever said this is so dumb my moms a cop amp ill have her track you down for being a lil bitch kay bye,,,
 that nigga was eating that hoe lol,,,
 you da realest bitch out here amber,,,
callmejetson hoe ass nigga ,,,
callmebuffy sockin bitches in they mouf,,,
callmedaishaa ghetto ass pocahontas ,,,
callmerenee  my bad bitch im logged in on everybody shit,,,
callmerenee lilmenifee wussup bitch,,,
callmerenee bitch im too mad im finna throw this bitch outside,,,
callmerenee bitch u ,,,
callmerenee bitch u bs how fck yah ,,,
callmerenee dam bitch,,,
callmerenee wussup bitch,,,
callneeshcakey  das new bae  my bitch bad or naw lmao,,,
callneeshcakey  bitches aint shit,,,
callneeshcakey i cant bitch,,,
callneeshcakey bitch i know stfu ,,,
callneeshcakey to lay up w my bitch,,,
callneeshcakey umm bitch hello i was not alive so i clearly dobt have it,,,
camcoles you dont know what i know name somebody colder you monkey faced immigrant,,,
camposuli is a fag hesgay,,,
candielissa twitrlesskb elissareillys  elissa is such a fake cunt,,,
capodaasshole alejandrobihhh all hoes singing it too,,,
capodaasshole alejandrobihhh damn that hoe just came out but look at how many hoes said his shit jamming on my shit,,,
capodaasshole alejandrobihhh lmaooo i wanted them hoes she was suppose to hold em,,,
capodaasshole alejandrobihhh lmaooo niggas aint but hoes is i think im winning,,,
capodaasshole alejandrobihhh lmaoooo beiber get these hoes wet big bro im tryna tell you,,,
capodaasshole alejandrobihhh me either but if the bitch like put on that  nigga aint gone hesitate,,,
capodaasshole alejandrobihhh whatever turn them hoes on zro aint gone get the bitch wet,,,
capodaasshole i fuck with takeoff nigga get on the bitch and just snap,,,
capodaasshole lol that hoe for  old,,,
capodaasshole naw where can i see that hoe at,,,
capodaasshole wiz had a warrant like a bitch,,,
capodaasshole yea he coming back him big rod doing something for that hoe,,,
captelliott nfn you bitch to much,,,
 im not hollywood at all my nig u brought me to twitter n bounced,,,
 a young nigga turned into mr catchmeifyoucanim in da field my nig wedaopps fukemweball,,,
 he a real nigga tho that bitch know her place,,,
 weeknd dont save hoes b idunno bout drake,,,
 weeknd make muzik for the hoes b im tryna meet these women he be talkin bout,,,
 you styl gotta get dem tweets off my nig,,,
carlafinch what can i say im a stubborn son of a bitch,,,
carolinepoe bitch im  and i didnt follow you hahaha,,,
carolinepoe haha i dont remember following you but ok get your pannies out of of bunch cunt,,,
cashhaddict damn i wanted to buy that bitch that shit was tough,,,
 i know bro nigga seen a  african playing guard and was handling the hoe,,,
 lebron brought the bitch down to his knees chill,,,
 who all in that hoe,,,
caymarieee bitch,,,
caymarieee bitch im not coming no more you said your making plans ,,,
caymarieee bitch im talm bout at like  ,,,
caymarieee bitch ion got no attitude  sorry hoe im shaded rn,,,
caymarieee bitch you not either bye ,,,
caymarieee bitch you still subtweets but not replying though ,,,
caymarieee oh bitch but you couldnt answer mine when i needed a paccage delivered to your house  so fucc off ,,,
caymarieee omg bitch go to sleep it was just a coincidence huh  ,,,
cdashray shes wearing the same shirt what a bitch,,,
ceencrumpets self low down black bitch,,,
ceeross negro pleasei got a job now lmao,,,
ceeross shoulda told her yeah if i can take you home for pussy lol,,,
 bitch bye you cant get it,,,
 bitch is you drunk or nah,,,
 its almost ya fucking birthday so act right niglet,,,
 fvtboy jaimescudi angelsoswavey would i be a bitch if i said yea but never told you where i stay at,,,
 you thebrianmo brought it up first with the allusion that shes a hoe chelseaelisa ,,,
cesarkgarcia text me niggah,,,
  yes because i too want to be fat and have a fat bitch wife,,,
 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,,,
 stay talking defending your fuckboy ass boyfriend or what go suck him off while youre at it faggot,,,
chandailbailey steezeyflow hunturpls you need to accept the fact that youre both hipster faggots,,,
chandailbailey way to delete your tweets you stanky bitch,,,
channnteeel pussy,,,
 your gay stfu dumb monkey,,,
charlesbwaffle these bitches need guidance,,,
charlseykay homeee fag,,,
chasebasford justinbieber i was  bitch,,,
chasebasford chase you god damn faggot ,,,
chasemanhatttan you become retarded,,,
checha be gone my nigguh,,,
 greyyygoose faaaaggggottttt speaking with the blonde hair and confused youre a hypocrite cuz youre a faggot,,,
chefboyrnach vegeta a super hoe then but he did snack goni up something fierce during buu saga wow,,,
cheyennedoan cause hes a faggot,,,
 dunleavy my cracker ass honkie,,,
chiefkeef fucc droppin songs when yu gon drop a mixtape nicca,,,
 damn thot i blocked ur fuzzy butt have now  virleehol   waynebogda ,,,
 shut up chink,,,
chokmahmakob ok you billy goat hair hillbilly,,,
chokmahmakob you said good bye dumb bitch snd i said okwhat is it with you white devilsi have nothing for you vampire lover of blood,,,
chrisheben you motherfuckin bullshit slingin son of a whore you disgraced all vets with ur crap now go off to pussy land where u belong,,,
chrismcdowell dont be a bitch,,,
chrismcdowell pussy ass nigga,,,
chrispowellswag cblaze  dawson and nicky hickman delete the fake account and and stop being bitches,,,
 thorsyndirgard peta right in the pussy,,,
chrisanzueto  you call someone a faggot and then say to kill themselves you are a pathetic human being a fucking disgrace,,,
christianesem you dont know what your talking about retarded faggot,,,
christymack fugly bitch john will dump ur ratchet ass,,,
christymack ugly flat chested prude ass white bitch,,,
chrisworldpeace so i guess that makes us blacks double niggers huh,,,
chykalet naw u just retarded kinfolk lol,,,
cinwicked did you just call my sweet baboo a ho,,,
ciscoallday and btw dont ever bring up past hoes wit yo ol lady i took that l in hs tryna be semi honest smh,,,
